606,Casa da Árvore - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
608,Entire House,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'}
609,Casa da Serra - Camping Oleiros,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=28&LodgeSearch%5Bdate_start%5D=2018-05-05&LodgeSearch%5Bdate_end%5D=2018-05-07&LodgeSearch%5Bnum_adults%5D=2'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=28&LodgeSearch%5Bdate_start%5D=2018-05-05&LodgeSearch%5Bdate_end%5D=2018-05-07&LodgeSearch%5Bnum_adults%5D=2'}
610,Quarto Standard Duplo,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=40&LodgeSearch%5Bdate_start%5D=2018-04-07&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=40&LodgeSearch%5Bdate_start%5D=2018-04-07&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
612,Casa da Urze,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=35&LodgeSearch%5Bdate_start%5D=2018-05-31&LodgeSearch%5Bdate_end%5D=2018-06-03&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=35&LodgeSearch%5Bdate_start%5D=2018-05-31&LodgeSearch%5Bdate_end%5D=2018-06-03&LodgeSearch%5Bnum_adults%5D=2'}
621,Apartamento T1 Deluxe,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'}
623,Casa da Pedra Rolada,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=67&LodgeSearch%5Bdate_start%5D=2018-04-28&LodgeSearch%5Bdate_end%5D=2018-04-29&LodgeSearch%5Bnum_adults%5D=6'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=67&LodgeSearch%5Bdate_start%5D=2018-04-28&LodgeSearch%5Bdate_end%5D=2018-04-29&LodgeSearch%5Bnum_adults%5D=6'}
625,Casa da Escada - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=14&LodgeSearch%5Bdate_start%5D=2018-05-31&LodgeSearch%5Bdate_end%5D=2018-06-03&LodgeSearch%5Bnum_adults%5D=4'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=14&LodgeSearch%5Bdate_start%5D=2018-05-31&LodgeSearch%5Bdate_end%5D=2018-06-03&LodgeSearch%5Bnum_adults%5D=4'}
627,Casa das Vizinhas - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=20&LodgeSearch%5Bdate_start%5D=2018-03-14&LodgeSearch%5Bdate_end%5D=2018-03-16&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=20&LodgeSearch%5Bdate_start%5D=2018-03-14&LodgeSearch%5Bdate_end%5D=2018-03-16&LodgeSearch%5Bnum_adults%5D=2'}
629,Quarto Familiar,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=26&LodgeSearch%5Bdate_start%5D=2018-03-28&LodgeSearch%5Bdate_end%5D=2018-03-29&LodgeSearch%5Bnum_adults%5D=4'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=26&LodgeSearch%5Bdate_start%5D=2018-03-28&LodgeSearch%5Bdate_end%5D=2018-03-29&LodgeSearch%5Bnum_adults%5D=4'}
